review_id,company,employee_role,employee_detail,review_text,review_date,star_rating,sentiment,predicted_label,predicted_score
82630669,Tecnomapas,Recepcionista,"Ex-funcionário(a), mais de um ano","Companheirismo entre os colegas, oportunidade de crescimento",2023-12-15,5.0,1,Neutral,0.8148629069328308
60212043,Tecnomapas,Funcionário confidencial,"Ex-funcionário(a), menos de um ano",Única vantagem era o trabalho ser home office,2022-02-24,1.0,1,Neutral,0.9803178310394288
61592206,Tecnomapas,Técnico Em Geoprocessamento,"Ex-funcionário(a), mais de 3 anos",Empresa que ensina muito e contrata sem experiência,2022-03-22,1.0,1,Negative,0.9608676433563232
53823703,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-prestador de serviços, mais de 3 anos",UMA EMPRESA QUE AJUDA AGREGAR CONHECIMENTOS,2021-10-11,4.0,1,Neutral,0.934001326560974
27076314,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-funcionário(a), menos de um ano","Os outros colaboradores, as pessoas são agradáveis e o ambiente é leve, a empresa oferece refeitório dentro de suas acomodações, fica bem localizada na cidade.",2018-10-08,2.0,1,Neutral,0.9238502383232116
26628766,Tecnomapas,Analista De Desenvolvimento Pleno,Funcionário(a) atual,"Ambiente de trabalho, intervalos, plano de saúde, odontológico e oferece aulas de inglês para funcionários a um custo moderado.",2015-03-04,3.0,1,Neutral,0.9863661527633668
26629156,Tecnomapas,Analista De Sistemas Pleno,Funcionário(a) atual,"Possui horários de intervalos livres, podendo jogar, assistir serie ou filmes. Possui seguro de vida. Alimentação dentro da empresa.",2015-03-05,3.0,1,Neutral,0.9756105542182922
27056784,Tecnomapas,Auxiliar De Geoprocessamento,Funcionário(a) atual,"Os funcionários são a única coisa que valem a pena nessa empresa, são pessoas que se dedicam, se qualificam e não recebem o devido reconhecimento.",2018-09-06,1.0,1,Neutral,0.7774803638458252
84924212,Amaggi,Auxiliar Administrativo,"Ex-funcionário(a), mais de 5 anos","Muitos benefícios, vale alimentação, seguro de vida, plano de saúde e odontológico",2024-03-01,5.0,1,Neutral,0.9604668617248536
84663424,Amaggi,Vigilante Patrimonial,Funcionário(a) atual,"Trata o funcionário com respeito e tem bons benefícios, não só para o funcionário, para a família.",2024-02-22,5.0,1,Neutral,0.7815596461296082
83803674,Amaggi,Analista De PCM,Funcionário(a) atual,Cultura e ambiente humanizado de trabalho,2024-01-28,4.0,1,Neutral,0.9856231212615968
83429978,Amaggi,Supervisor/Coordenador,Funcionário(a) atual,"Vale alimentação
Plano de saúde
Plano odontológico
PPR- Participação nos Lucros",2024-01-16,5.0,1,Neutral,0.9908079504966736
82983501,Amaggi,Estagiário Jurídico,"Ex-funcionário(a), mais de um ano","Recebe VA no valor de 675 assim como todos os funcionários, mais seguro e plano de saúde ou VT com coparticipação. Empresa de muitas frentes, vale a pena pois se aprende muito.",2024-01-02,3.0,1,Neutral,0.8118098378181458
82441417,Abaco Tecnologia de Informação Ltda,Analista Pleno,Funcionário(a) atual,"Os funcionários são a alma da empresa, e até hoje não encontrei pessoas ruins ali.
Média salarial ok.
",2023-12-08,3.0,1,Negative,0.7959275841712952
79759611,Abaco Tecnologia de Informação Ltda,Analista De Negócios Sênior,Funcionário(a) atual,Salário; Trabalho híbrido; Para quem está começando na vida profissional é um bom aprendizado para criar 'casca'.,2023-09-04,3.0,1,Neutral,0.9195763468742372
79589896,Abaco Tecnologia de Informação Ltda,Analista De Negócios Pleno,"Funcionário(a) atual, mais de 5 anos",Salário em dia. Mas isso é obrigação da empresa...,2023-08-29,2.0,1,Neutral,0.9765874743461608
79998242,Abaco Tecnologia de Informação Ltda,Analista De Sistemas Pleno,"Ex-funcionário(a), mais de um ano","Vale Alimentação, Vale Transporte, Salario.",2023-09-12,5.0,1,Neutral,0.9902305006980896
75224660,Abaco Tecnologia de Informação Ltda,Técnico De Suporte Júnior,"Ex-funcionário(a), mais de 3 anos",Vale alimentação - VR Vale transporte,2023-04-05,4.0,1,Neutral,0.990655481815338
73441712,Abaco Tecnologia de Informação Ltda,Analista De Negócios Júnior,"Funcionário(a) atual, mais de 5 anos","Permite trabalhar de forma home office e os colaboradores normalmente ficam muitos anos na empresa, pois ela dificilmente demite funcionários.",2023-02-08,4.0,1,Neutral,0.9876214861869812
72522531,Abaco Tecnologia de Informação Ltda,Analista De Requisitos,"Ex-funcionário(a), mais de um ano","Aprendizado, adquirir resiliência. Paciência também foi bem trabalhado.",2023-01-11,2.0,1,Neutral,0.9791858792304992
71391162,Abaco Tecnologia de Informação Ltda,Funcionário confidencial,"Ex-funcionário(a), mais de um ano",Nao sei dizer nada sobre isso.,2022-11-25,1.0,1,Neutral,0.9912949800491332
70859119,Abaco Tecnologia de Informação Ltda,Funcionário confidencial,Funcionário(a) atual,"Paga o salário em dia, e por não haver muita organização é possível aprender de tudo um pouco.",2022-11-07,2.0,1,Neutral,0.9874990582466124
68861222,Abaco Tecnologia de Informação Ltda,Analista De Sistemas,"Ex-funcionário(a), mais de um ano",Apenas a possibilidade de trabalho home office,2022-09-08,1.0,1,Neutral,0.9915068745613098
68139607,Abaco Tecnologia de Informação Ltda,Funcionário confidencial,"Funcionário(a) atual, mais de 3 anos","- Paga Salário em dia

- Trabalho Home Office

- Boa para inicio de carreira",2022-08-20,4.0,1,Neutral,0.962556004524231
69044535,Abaco Tecnologia de Informação Ltda,Analista,"Ex-funcionário(a), mais de 5 anos",Existe um clima muito amistoso no trabalho,2022-09-14,4.0,1,Negative,0.9059391617774964
68952889,Abaco Tecnologia de Informação Ltda,Analista De Sistemas,Funcionário(a) atual,Pensando alguma coisa boa sobre prós.,2022-09-12,4.0,1,Neutral,0.9833791851997375
67402809,Abaco Tecnologia de Informação Ltda,Analista De Sistemas Desenvolvedor,Funcionário(a) atual,A empresa sempre está de portas abertas para quem saiu e precisou voltar.,2022-08-01,3.0,1,Neutral,0.9880545735359192
67980596,Abaco Tecnologia de Informação Ltda,Analista De Suporte Júnior,"Funcionário(a) atual, mais de 3 anos",Equipe e gerencia sempre presentes,2022-08-16,4.0,1,Neutral,0.8331637978553772
67827325,Abaco Tecnologia de Informação Ltda,Analista De Negócios Pleno,"Funcionário(a) atual, mais de 5 anos","Salário em dia, pagamento acima da média do mercado",2022-08-11,4.0,1,Neutral,0.9450759887695312
64097338,Abaco Tecnologia de Informação Ltda,Analista De Projetos,"Ex-funcionário(a), mais de um ano","Mesmo eu tendo um bom currículo, boas experiências de mercado, 2 formações acadêmicas e uma pós graduação, o salário era muito abaixo, mas foi o que surgiu primeiro, e o salário pelo menos era pago em dia.",2022-05-13,1.0,1,Neutral,0.9809668064117432
58462382,Abaco Tecnologia de Informação Ltda,Analista De Sistemas Desenvolvedor,"Ex-funcionário(a), mais de 5 anos",Dá oportunidade para o colaborador crescer profissionalmente e aprender novas habilidades,2022-01-24,5.0,1,Neutral,0.953155279159546
57210148,Abaco Tecnologia de Informação Ltda,Técnico Suporte N2,Funcionário(a) atual,"- Colaboradores

- Flexibilidade

- Benefícios

- Home Office

- Chances de crescimento",2021-12-29,4.0,1,Neutral,0.988382875919342
51101866,Abaco Tecnologia de Informação Ltda,Analista De Negócios Pleno,Funcionário(a) atual,"Pagamento sempre em dia, nunca houveram atrasos desde quando entrei;",2021-08-13,3.0,1,Neutral,0.9626945853233336
