review_id,company,employee_role,employee_detail,review_text,review_date,star_rating,sentiment,predicted_label,predicted_score,reviewed
82630669,Tecnomapas,Recepcionista,"Ex-funcionário(a), mais de um ano","Companheirismo entre os colegas, oportunidade de crescimento",15 de dez. de 2023,5.0,1,Neutral,0.8148629069328308,
60212043,Tecnomapas,Funcionário confidencial,"Ex-funcionário(a), menos de um ano",Única vantagem era o trabalho ser home office,24 de fev. de 2022,1.0,1,Neutral,0.9803178310394288,
61592206,Tecnomapas,Técnico Em Geoprocessamento,"Ex-funcionário(a), mais de 3 anos",Empresa que ensina muito e contrata sem experiência,22 de mar. de 2022,1.0,1,Negative,0.9608676433563232,
53823703,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-prestador de serviços, mais de 3 anos",UMA EMPRESA QUE AJUDA AGREGAR CONHECIMENTOS,11 de out. de 2021,4.0,1,Neutral,0.934001326560974,
27076314,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-funcionário(a), menos de um ano","Os outros colaboradores, as pessoas são agradáveis e o ambiente é leve, a empresa oferece refeitório dentro de suas acomodações, fica bem localizada na cidade.",8 de out. de 2018,2.0,1,Neutral,0.9238502383232116,
26628766,Tecnomapas,Analista De Desenvolvimento Pleno,Funcionário(a) atual,"Ambiente de trabalho, intervalos, plano de saúde, odontológico e oferece aulas de inglês para funcionários a um custo moderado.",4 de mar. de 2015,3.0,1,Neutral,0.9863661527633668,
26629156,Tecnomapas,Analista De Sistemas Pleno,Funcionário(a) atual,"Possui horários de intervalos livres, podendo jogar, assistir serie ou filmes. Possui seguro de vida. Alimentação dentro da empresa.",5 de mar. de 2015,3.0,1,Neutral,0.9756105542182922,
27056784,Tecnomapas,Auxiliar De Geoprocessamento,Funcionário(a) atual,"Os funcionários são a única coisa que valem a pena nessa empresa, são pessoas que se dedicam, se qualificam e não recebem o devido reconhecimento.",6 de set. de 2018,1.0,1,Neutral,0.7774803638458252,
84924212,Amaggi,Auxiliar Administrativo,"Ex-funcionário(a), mais de 5 anos","Muitos benefícios, vale alimentação, seguro de vida, plano de saúde e odontológico",1 de mar. de 2024,5.0,1,Neutral,0.9604668617248536,
84663424,Amaggi,Vigilante Patrimonial,Funcionário(a) atual,"Trata o funcionário com respeito e tem bons benefícios, não só para o funcionário, para a família.",22 de fev. de 2024,5.0,1,Neutral,0.7815596461296082,
83803674,Amaggi,Analista De PCM,Funcionário(a) atual,Cultura e ambiente humanizado de trabalho,28 de jan. de 2024,4.0,1,Neutral,0.9856231212615968,
83429978,Amaggi,Supervisor/Coordenador,Funcionário(a) atual,"Vale alimentação
Plano de saúde
Plano odontológico
PPR- Participação nos Lucros",16 de jan. de 2024,5.0,1,Neutral,0.9908079504966736,
82983501,Amaggi,Estagiário Jurídico,"Ex-funcionário(a), mais de um ano","Recebe VA no valor de 675 assim como todos os funcionários, mais seguro e plano de saúde ou VT com coparticipação. Empresa de muitas frentes, vale a pena pois se aprende muito.",2 de jan. de 2024,3.0,1,Neutral,0.8118098378181458,
82441417,Abaco Tecnologia de Informação Ltda,Analista Pleno,Funcionário(a) atual,"Os funcionários são a alma da empresa, e até hoje não encontrei pessoas ruins ali.
Média salarial ok.
",8 de dez. de 2023,3.0,1,Negative,0.7959275841712952,
