review_id,company,employee_role,employee_detail,review_text,review_date,star_rating,sentiment,predicted_sentiment_m1,predicted_sentiment_m2,predicted_sentiment_m3,predicted_sentiment_m4
75214861,TOTVS,Consultor De Vendas Sênior,Funcionário(a) atual,Nada a reclamar até o momento.,5 de abr. de 2023,4.0,0,0,0,0,0
78733006,TOTVS,Product Owner,"Funcionário(a) atual, mais de 5 anos",Não ha nada que desabone,31 de jul. de 2023,5.0,0,0,0,0,0
60846585,TOTVS,Especialista,"Funcionário(a) atual, mais de um ano",Não há no momento atual.,9 de mar. de 2022,5.0,0,0,0,0,0
78115917,TOTVS,Assistente Administrativo,"Funcionário(a) atual, mais de 10 anos",Nenhum amo a empresa que trabalho,10 de jul. de 2023,5.0,0,0,1,0,0
75512828,TOTVS,Sales Development Representative (SDR),Ex-funcionário(a),Não vi contras na empresa,14 de abr. de 2023,5.0,0,0,0,0,0
80231381,TOTVS,Analista marketing pleno,"Funcionário(a) atual, mais de um ano",Não tem nenhum contra significativo,19 de set. de 2023,5.0,0,0,0,0,0
59111091,TOTVS,Analista De Sistemas,Ex-funcionário(a),Nenhum ponto relevante a mencionar,4 de fev. de 2022,5.0,0,0,0,0,0
65034776,TOTVS,Analista De Sistemas Júnior,"Funcionário(a) atual, mais de 3 anos","- Nenhum contra relevante

- Hibrido",2 de jun. de 2022,5.0,0,0,0,0,0
80848344,Sankhya Gestão de Negócios,Consultor De Atendimento I,Funcionário(a) atual,"Não tenho contras, sempre temos muitas oportunidades aqui dentro!",11 de out. de 2023,5.0,0,0,1,0,0
75675660,Sankhya Gestão de Negócios,Analista Comercial,"Funcionário(a) atual, mais de 3 anos",Não tem nenhum ponto contra indicação.,20 de abr. de 2023,5.0,0,0,0,0,0
33630575,TOTVS,Analista De Desenvolvimento De Software Júnior,Funcionário(a) atual,"A empresa disponibilizou apenas o notebook e quem teve sorte conseguiu levar alguns itens ergonômico, mas quando se faz home office há mais de 1 mês seguido sem os equipamentos adequados as dores começam a aparecer rs, seria interessante a empresa ter mais sensibilidade nesse sentido e disponibilizar aos funcionários a cadeira e outros itens que pode ajudar nesse momento.",10 de jun. de 2020,5.0,0,0,0,0,0
27034054,TOTVS,Analista De Sistemas Desenvolvedor,Funcionário(a) atual,Não tenho pontos negativos,4 de ago. de 2018,4.0,0,0,0,0,0
