review_id,company,employee_role,employee_detail,review_text,review_date,star_rating,sentiment,annotated
50539336,Grupo Bom Futuro,Motorista D,Funcionário(a) atual,"Empresa boa, porém falta algumas melhores para os funcionários",2021-08-01,3.0,1,0
52165795,Amaggi,Funcionário confidencial,"Ex-funcionário(a), mais de 3 anos","Empresa muito boa, tem bons procedimentos internos, salários bons (em alguns casos), tem muita oportunidade interna de aprender e agregar conhecimentos.",2021-09-06,5.0,1,0
74973659,DSS Tecnologia,Digitador,Funcionário(a) atual,folga dia sim e dia não.,2023-03-28,4.0,1,0
44377014,"Log, Lab. Inteligência Digital",Analista De Sistemas,Funcionário(a) atual,"Ambiente agradável

Pessoas dedicadas e dispostas a dar seu melhor",2021-03-22,4.0,1,0
26770042,Cigam Software Corporativo,Implementador,Funcionário(a) atual,"Valorizaçao do funcionário, preocupação com o bem estar, saúde. Avaliam o colaborador pela pessoa e não apenas como numero. Ambiente bom de t",2016-06-28,4.0,1,0
44788232,Amaggi,Analista,"Funcionário(a) atual, mais de 5 anos",Empresa otima e valoriza funcionarios,2021-03-30,5.0,1,0
70274520,DSS Tecnologia,Funcionário confidencial,"Funcionário(a) atual, mais de um ano","Gerentes de projeto não ficam no pé, você tem liberdade para trabalhar no cliente",2022-10-18,2.0,1,0
71276027,Cigam Software Corporativo,Assistente Administrativo,"Funcionário(a) atual, mais de um ano",é uma ótima empresa pra se trabalhar,2022-11-21,5.0,1,0
68390726,Cigam Software Corporativo,Analista De Marketing Digital,"Funcionário(a) atual, mais de 3 anos","Ambiente de trabalho, flexibilidade de horários, opção de home office, gerência e diretoria sempre acessível.",2022-08-26,5.0,1,0
68295294,Redeflex,Frentista,Ex-funcionário(a),"ótima equipe, ambiente bom, salario em dia",2022-08-24,3.0,1,0
56180397,MTI - Empresa Mato-grossense de Tecnologia da Informação ,Estágio Desenvolvimento Java,"Estagiário atual, menos de um ano",Desenvolvendo sistemas para o crescimento do estado de Mato Grosso,2021-12-03,4.0,1,0
35726303,Totem Treinamento e Consultoria em TI,Funcionário confidencial,"Funcionário(a) atual, menos de um ano","Oportunidade para crescimento, muitos projetos para trabalhar.",2020-09-08,5.0,1,0
38730109,Abaco Tecnologia de Informação Ltda,Analista de Negócios Pleno,Ex-funcionário(a),"Valoriza o profissional, é uma empresa justa.

Apoia Certificações.",2020-11-25,4.0,1,0
26800093,Amaggi,Assistente,Funcionário(a) atual,"Pacote de Benefícios, Ambiente de trabalho bom, Transparência com os colaboradores, Estrutura Adequada, Salário compatível com a função, Eventos importantes que contribuem para o crescimento. Como exemplo o dialogo de sustentabilidade.",2016-11-28,4.0,1,0
27112466,Amaggi,Comprador,Funcionário(a) atual,"Reconhecimento profissional externo ótimo, desenvolvimento de cultura profissional adequada a grandes empresa ,possui programa de auxilio educação e plano de saúde muito bom",2018-12-05,3.0,1,0
47103149,Amaggi,Operador Industrial,"Ex-funcionário(a), mais de um ano",Empresa seria onde os colaboradores podem participar dos lucros das metas concluídas.,2021-05-18,4.0,1,0
82855955,Amaggi,Gerente De Compras,"Ex-funcionário(a), mais de 5 anos","É uma empresa grande e bem vista, faz bem para cv",2023-12-26,3.0,1,0
63081052,DSS Tecnologia,Assistente Administrativo,"Ex-funcionário(a), mais de um ano",Folgas e também Vale Alimentação,2022-04-21,1.0,1,0
40884082,Redeflex,Assistente De Relacionamento,Ex-funcionário(a),"Empresa muito boa, paga em dias corretos e etc",2021-01-17,4.0,1,0
41620294,Abaco Tecnologia de Informação Ltda,Analista de Sistemas Sênior,"Funcionário(a) atual, mais de 8 anos","Não atrasa salários, média salarial compatível com o mercado, ótimo ambiente de trabalho, ótimos colegas de trabalho, aprende-se muito devido aos desafios e complexidades que se apresentam no dia a dia.",2021-01-29,4.0,1,0
